Recipe / File Name,Description,Link
Pretrain GPT-OSS-120B BF16 (8k) on 4x8x8,Pretrain GPT-OSS-120B model in BF16 precision on topology 4x8x8with 8k sequence length using XPK orchestration on Ironwood GKE clusters.,training/ironwood/gpt-oss-120b/8k-bf16-tpu7x-4x8x8/xpk/README.md
Pretrain Llama3.1-405B BF16 (8k) on 4x8x8,Pretrain Llama3.1-405B model in BF16 precision on topology 4x8x8with 8k sequence length using XPK orchestration on Ironwood GKE clusters.,training/ironwood/llama3.1-405b/8k-bf16-tpu7x-4x8x8/README.md
Pretrain Llama3.1-405B FP8 (8k) on 4x8x8,Pretrain Llama3.1-405B model in FP8 precision on topology 4x8x8with 8k sequence length using XPK orchestration on Ironwood GKE clusters.,training/ironwood/llama3.1-405b/8k-fp8-tpu7x-4x8x8/README.md
Pretrain Llama3.1-70B BF16 (128k) on 4x8x8,Pretrain Llama3.1-70B model in BF16 precision on topology 4x8x8with 128k sequence length using XPK orchestration on Ironwood GKE clusters.,training/ironwood/llama3.1-70b/128k-bf16-tpu7x-4x8x8/xpk/README.md
Pretrain Llama3.1-70B FP8 (128k) on 4x8x8,Pretrain Llama3.1-70B model in FP8 precision on topology 4x8x8with 128k sequence length using XPK orchestration on Ironwood GKE clusters.,training/ironwood/llama3.1-70b/128k-fp8-tpu7x-4x8x8/README.md
Pretrain Llama3.1-70B BF16 (8k) on 4x4x4,Pretrain Llama3.1-70B model in BF16 precision on topology 4x4x4with 8k sequence length using XPK orchestration on Ironwood GKE clusters.,training/ironwood/llama3.1-70b/8k-bf16-tpu7x-4x4x4/xpk/README.md
Pretrain Llama3.1-70B BF16 (8k) on 4x8x8,Pretrain Llama3.1-70B model in BF16 precision on topology 4x8x8with 8k sequence length using XPK orchestration on Ironwood GKE clusters.,training/ironwood/llama3.1-70b/8k-bf16-tpu7x-4x8x8/xpk/README.md
Pretrain Llama3.1-70B FP8 (8k) on 4x4x4,Pretrain Llama3.1-70B model in FP8 precision on topology 4x4x4with 8k sequence length using XPK orchestration on Ironwood GKE clusters.,training/ironwood/llama3.1-70b/8k-fp8-tpu7x-4x4x4/xpk/README.md
Pretrain Llama3.1-70B FP8 (8k) on 4x8x8,Pretrain Llama3.1-70B model in FP8 precision on topology 4x8x8with 8k sequence length using XPK orchestration on Ironwood GKE clusters.,training/ironwood/llama3.1-70b/8k-fp8-tpu7x-4x8x8/README.md
Pretrain Qwen3-235B BF16 (4k) on 4x8x8,Pretrain Qwen3-235B model in BF16 precision on topology 4x8x8with 4k sequence length using XPK orchestration on Ironwood GKE clusters.,training/ironwood/qwen3-235b-a22b/4k-bf16-tpu7x-4x8x8/xpk/README.md
Pretrain Qwen3-235B FP8 (4k) on 4x8x8,Pretrain Qwen3-235B model in FP8 precision on topology 4x8x8with 4k sequence length using XPK orchestration on Ironwood GKE clusters.,training/ironwood/qwen3-235b-a22b/4k-fp8-tpu7x-4x8x8/README.md
Pretrain Wan2.1-14B BF16 on 4x4x4,Pretrain Wan2.1-14B model in BF16 precision on topology 4x4x4 using XPK orchestration on Ironwood GKE clusters.,training/ironwood/wan2.1-14b/bf16-tpu7x-4x4x4/k8s/README.md
Pretrain Wan2.1-14B BF16 on 4x4x4,Pretrain Wan2.1-14B model in BF16 precision on topology 4x4x4 using XPK orchestration on Ironwood GKE clusters.,training/ironwood/wan2.1-14b/bf16-tpu7x-4x4x4/xpk/README.md
Train GPT3-175B in BF16 on TPU Trillium,Train GPT3-175B model on Trillium TPUs using MaxText in BF16 precision.,training/trillium/GPT3-175B-MaxText/bf16/README.md
Train GPT3-175B in FP8 on TPU Trillium,Train GPT3-175B model on Trillium TPUs using MaxText in FP8 precision.,training/trillium/GPT3-175B-MaxText/fp8/README.md
Train Gemma3-12B on TPU Trillium (2x v6e-256),Train Gemma3-12B model on 2 slices of Trillium v6e-256 using MaxText.,training/trillium/Gemma3-12B-MaxText/2x-v6e-256/README.md
Train Gemma3-12B on TPU Trillium (4x v6e-256),Train Gemma3-12B model on 4 slices of Trillium v6e-256 using MaxText.,training/trillium/Gemma3-12B-MaxText/4x-v6e-256/README.md
Train Gemma3-12B on TPU Trillium (v6e-256),Train Gemma3-12B model on 1 slice of Trillium v6e-256 using MaxText.,training/trillium/Gemma3-12B-MaxText/v6e-256/README.md
Train Llama2-70B on TPU Trillium,Train Llama2-70B model on Trillium TPUs using MaxText.,training/trillium/Llama2-70B-MaxText/README.md
Train Llama3.1-405B on TPU Trillium,Train Llama3.1-405B model on Trillium TPUs using MaxText.,training/trillium/Llama3.1-405B-MaxText/README.md
Train Llama3.1-70B on TPU Trillium (v6e-128),Train Llama3.1-70B model on Trillium TPUs (v6e-128) using MaxText.,training/trillium/Llama3.1-70B-MaxText/v6e-128/README.md
Train Llama3.1-70B on TPU Trillium (v6e-256),Train Llama3.1-70B model on Trillium TPUs (v6e-256) using MaxText.,training/trillium/Llama3.1-70B-MaxText/v6e-256/README.md
Train Llama3.1-70B on TPU Trillium (v6e-32),Train Llama3.1-70B model on Trillium TPUs (v6e-32) using MaxText.,training/trillium/Llama3.1-70B-MaxText/v6e-32/README.md
Train Llama3.1-70B on TPU Trillium (v6e-64),Train Llama3.1-70B model on Trillium TPUs (v6e-64) using MaxText.,training/trillium/Llama3.1-70B-MaxText/v6e-64/README.md
Train Llama3.1-8B on TPU Trillium (v6e-128),Train Llama3.1-8B model on Trillium TPUs (v6e-128) using MaxText.,training/trillium/Llama3.1-8B-MaxText/v6e-128/README.md
Train Llama3.1-8B on TPU Trillium (v6e-16),Train Llama3.1-8B model on Trillium TPUs (v6e-16) using MaxText.,training/trillium/Llama3.1-8B-MaxText/v6e-16/README.md
Train Llama3.1-8B on TPU Trillium (v6e-256),Train Llama3.1-8B model on Trillium TPUs (v6e-256) using MaxText.,training/trillium/Llama3.1-8B-MaxText/v6e-256/README.md
Train Llama3.1-8B on TPU Trillium (v6e-32),Train Llama3.1-8B model on Trillium TPUs (v6e-32) using MaxText.,training/trillium/Llama3.1-8B-MaxText/v6e-32/README.md
Train Llama3.1-8B on TPU Trillium (v6e-64),Train Llama3.1-8B model on Trillium TPUs (v6e-64) using MaxText.,training/trillium/Llama3.1-8B-MaxText/v6e-64/README.md
Train Llama3.1-8B on TPU Trillium (v6e-8),Train Llama3.1-8B model on Trillium TPUs (v6e-8) using MaxText.,training/trillium/Llama3.1-8B-MaxText/v6e-8/README.md
Train Mistral-7B on TPU Trillium (v6e-8),Train Mistral-7B model on Trillium TPUs (v6e-8) using MaxText.,training/trillium/Mistral-7B-MaxText/README.md
Train Mixtral-8x22B on TPU Trillium,Train Mixtral-8x22B model on Trillium TPUs using MaxText.,training/trillium/Mixtral-8x22B-MaxText/README.md
Train Mixtral-8x7B on TPU Trillium,Train the Mixtral-8x7B model on Trillium TPUs using MaxText.,training/trillium/Mixtral-8x7B-MaxText/README.md
Train DeepSeek3-671B on TPU v5p-1024,Train DeepSeek-V3 671B mixture-of-experts model on TPU v5p-1024 clusters using MaxText.,training/v5p/DeepSeek3-671B-MaxText/README.md
Train Stable Diffusion 2 on TPU v5p,Train Stable Diffusion 2 on TPU v5p using the MaxDiffusion framework and XPK orchestration.,training/v5p/Diffusion-2-MaxDiffusion/README.md
Train GPT3-175B on TPU v5p,Train the GPT3-175B model on TPU v5p using MaxText.,training/v5p/GPT3-175B-MaxText/README.md
Train Llama2-7B on TPU v5p,Train the Llama2-7B model on TPU v5p using MaxText.,training/v5p/Llama2-7B-Maxtext/README.md
Train Llama3.1-405B on TPU v5p-1024,Train the Llama3.1-405B model on TPU v5p-1024 clusters with MaxText and XPK.,training/v5p/Llama3.1-405B-MaxText/README.md
Train Llama4-Maverick-17B-128E on TPU v5p-256,Train the Llama4-Maverick-17B-128E MoE model with MaxText on TPU v5p-256 slices.,training/v5p/Llama4-Maverick-17B-128E-Maxtext/README.md
Train Llama4-Scout-17B-16E on TPU v5p,"Train the Llama4-Scout-17B-16E MoE model with MaxText on TPU v5p-256, v5p-512, or v5p-1024.",training/v5p/Llama4-Scout-17B-16E-Maxtext/README.md
Train Mixtral-8x7B on TPU v5p,Train the Mixtral-8x7B mixture-of-experts model on TPU v5p using MaxText.,training/v5p/Mixtral-8X7B-Maxtext/README.md
Train Stable Diffusion XL on TPU v5p,Train Stable Diffusion XL on TPU v5p using MaxDiffusion.,training/v5p/SDXL-MaxDiffusion/README.md
Pretrain Wan2.1-14B on TPU v5p-16,Pretrain Wan2.1-14B MaxDiffusion model on v5p TPU GKE clusters using XPK.,training/v5p/wan2.1-14b/bf16-v5p-16/xpk/README.md
